,MP,FG%,3P%,2P%,eFG%,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Pos_C,Pos_PF,Pos_PG,Pos_SF,Pos_SG,Cluster,Player,Year,Pos,Name
95,20.7,53.6,37.1,58.4,58.4,73.9,2.0,4.0,5.9,2.5,0.4,0.7,1.9,3.2,9.6,1,0,0,0,0,4,Zach Collins,2023,C,Offensive Big Men
96,29.6,39.1,36.6,42.6,42.6,80.0,0.4,2.1,2.5,7.6,1.1,0.2,1.6,2.2,10.3,0,0,1,0,0,6,Mike Conley,2023,PG,Defensive Big Men
97,24.8,38.9,35.8,49.2,49.2,60.0,0.8,4.0,4.7,1.2,0.7,0.1,0.6,1.1,8.6,0,0,0,0,1,8,Pat Connaughton,2023,SG,Role Players
98,16.6,40.9,33.7,51.6,51.6,73.5,0.7,3.3,4.0,1.3,0.7,0.8,0.7,1.9,5.7,0,1,0,0,0,8,Robert Covington,2023,PF,Rising Stars
99,25.6,45.6,39.6,51.5,51.5,78.8,2.0,3.7,5.7,1.5,0.7,0.6,0.9,2.4,8.1,0,0,0,1,0,0,Torrey Craig,2023,SF,Role Players
100,13.7,39.5,8.3,51.6,51.6,69.2,1.0,2.8,3.8,0.6,0.6,0.2,0.7,1.4,4.4,0,0,0,0,1,8,Jarrett Culver,2023,SG,6th Men
101,33.3,41.5,27.9,46.6,46.6,83.7,1.0,5.2,6.2,6.0,0.8,0.6,3.3,2.8,19.9,0,0,1,0,0,3,Cade Cunningham,2023,PG,Role Players
102,23.2,46.7,42.4,51.3,51.3,97.1,0.3,1.8,2.1,2.1,0.6,0.2,1.1,1.9,10.8,0,0,0,0,1,5,Seth Curry,2023,SG,Key Reserves
103,34.6,49.4,42.7,58.6,58.6,92.1,0.6,5.7,6.3,6.5,1.0,0.4,3.2,2.0,29.7,0,0,1,0,0,3,Stephen Curry,2023,PG,Rising Stars
105,19.9,44.5,33.3,51.6,51.6,62.1,0.7,2.8,3.5,2.5,0.9,0.3,1.1,1.9,4.5,0,0,1,0,0,8,Dyson Daniels,2023,PG,6th Men
106,33.2,58.4,29.7,60.9,60.9,82.5,3.3,8.7,12.0,2.6,1.3,2.1,1.9,2.7,26.7,1,0,0,0,0,3,Anthony Davis,2023,C,6th Men
107,5.0,30.8,0.0,40.0,40.0,0.1,0.1,0.6,0.7,0.2,0.0,0.1,0.1,1.2,1.1,0,0,0,0,1,1,Johnny Davis,2023,SG,Role Players
108,12.9,41.9,34.6,55.9,55.9,88.5,0.4,2.0,2.4,1.3,0.8,0.3,0.9,1.7,6.5,0,0,0,0,1,6,Terence Davis,2023,SG,6th Men
109,2.4,20.0,0.0,33.3,33.3,78.6,0.0,0.4,0.4,0.2,0.2,0.0,0.2,0.0,0.4,0,0,1,0,0,2,JD Davison,2023,PG,Bench Warmers
110,11.7,51.2,30.6,59.6,59.6,72.7,1.0,2.7,3.7,0.5,0.2,0.4,0.7,2.0,5.9,1,0,0,0,0,8,Dewayne Dedmon,2023,C,6th Men
111,5.8,38.5,41.7,35.7,35.7,33.3,0.1,0.3,0.4,1.2,0.3,0.0,0.3,0.6,1.3,0,0,1,0,0,2,Matthew Dellavedova,2023,PG,Bench Warmers
112,36.2,51.3,32.4,52.9,52.9,89.0,0.5,4.4,4.9,5.0,1.0,0.5,2.0,2.7,26.4,0,0,0,1,0,3,DeMar DeRozan,2023,SF,6th Men
113,11.6,51.3,50.0,51.4,51.4,62.5,2.0,1.1,3.1,0.2,0.4,0.4,0.6,0.9,3.6,0,1,0,0,0,8,Moussa Diabaté,2023,PF,Role Players
114,6.6,44.0,28.6,63.6,63.6,74.85,0.2,0.6,0.8,0.1,0.1,0.4,0.4,0.8,1.9,0,1,0,0,0,4,Mamadi Diakite,2023,PF,Rising Stars
115,16.7,57.5,27.8,59.8,59.8,58.3,1.0,2.4,3.5,1.0,0.9,0.3,1.2,2.2,8.4,0,0,0,0,1,8,Hamidou Diallo,2023,SG,Role Players
116,9.8,40.7,27.8,66.7,66.7,75.0,0.9,1.9,2.8,1.6,0.1,0.4,0.8,1.4,3.4,1,0,0,0,0,4,Gorgui Dieng,2023,C,Key Pieces
117,14.5,43.8,29.7,63.0,63.0,25.0,0.5,2.1,2.6,1.3,0.3,0.2,0.5,1.0,4.0,0,0,0,1,0,8,Ousmane Dieng,2023,SF,Defensive Big Men
118,34.1,46.0,40.4,51.7,51.7,81.6,0.4,2.7,3.1,5.3,0.7,0.3,1.6,2.3,17.5,0,0,1,0,0,3,Spencer Dinwiddie,2023,PG,All Stars
119,25.0,40.9,39.2,44.4,44.4,81.1,1.0,3.6,4.6,3.3,1.3,0.1,1.4,1.9,8.3,0,0,0,0,1,6,Donte DiVincenzo,2023,SG,Key Pieces
120,36.8,50.1,35.5,58.1,58.1,73.0,0.9,8.0,8.9,8.3,1.5,0.5,3.6,2.8,33.4,0,0,1,0,0,3,Luka Dončić,2023,PG,Key Reserves
121,2.7,80.0,50.0,0.1,0.1,78.3,0.3,0.3,0.7,0.0,0.0,0.0,0.0,0.0,3.0,0,0,0,0,1,6,Tyler Dorsey,2023,SG,Key Pieces
122,30.3,40.6,35.7,44.7,44.7,75.8,1.4,2.8,4.2,2.3,1.0,0.3,1.4,3.3,14.1,0,0,0,0,1,0,Luguentz Dort,2023,SG,Defensive Big Men
123,27.5,50.3,31.2,60.7,60.7,76.4,0.7,2.4,3.1,2.6,0.7,0.4,1.4,2.6,9.3,0,0,0,0,1,7,Ayo Dosunmu,2023,SG,All Stars
124,8.8,10.0,25.0,0.0,0.0,78.6,1.0,0.7,1.7,1.3,0.8,0.0,0.5,1.5,0.5,0,0,1,0,0,2,Devon Dotson,2023,PG,Rising Stars
126,6.6,48.0,25.0,52.4,52.4,0.1,0.4,0.6,0.9,0.9,0.1,0.1,0.1,0.4,2.0,0,0,1,0,0,1,Jeff Dowtin,2023,PG,Role Players
127,2.5,66.7,50.0,0.1,0.1,78.3,0.0,0.5,0.5,0.0,0.8,0.0,0.0,0.0,1.3,0,0,0,0,1,6,PJ Dozier,2023,SG,All Stars
128,16.3,43.2,36.4,48.1,48.1,64.1,0.3,1.2,1.5,2.8,0.2,0.1,1.1,1.4,7.2,0,0,1,0,0,8,Goran Dragić,2023,PG,Offensive Big Men
129,13.0,61.0,0.0,61.8,61.8,53.2,2.2,4.4,6.6,0.6,0.6,0.3,1.0,1.9,6.1,1,0,0,0,0,1,Andre Drummond,2023,C,Role Players
130,19.4,36.1,30.0,43.0,43.0,84.7,0.3,2.1,2.4,1.6,0.5,0.3,0.9,1.5,8.1,0,0,0,1,0,6,Chris Duarte,2023,SF,Key Pieces
131,9.0,44.2,0.0,51.4,51.4,50.0,0.4,0.6,1.1,0.9,0.4,0.1,0.9,1.6,3.0,0,0,0,0,1,1,David Duke Jr.,2023,SG,Bench Warmers
132,36.0,55.9,37.6,62.2,62.2,93.4,0.4,6.4,6.7,5.3,0.8,1.5,3.5,2.4,29.7,0,1,0,0,0,3,Kevin Durant,2023,PF,Role Players
133,24.5,66.0,0.0,66.2,66.2,62.4,3.3,5.2,8.5,1.0,0.7,0.8,1.1,2.6,8.4,1,0,0,0,0,1,Jalen Duren,2023,C,Bench Warmers
134,19.4,44.6,36.0,47.8,47.8,77.8,2.2,3.4,5.6,1.0,1.1,0.6,1.1,2.1,8.4,0,1,0,0,0,0,Tari Eason,2023,PF,Defensive Big Men
135,36.5,46.5,37.7,52.1,52.1,76.6,0.7,5.4,6.1,4.5,1.7,0.6,3.4,2.5,24.9,0,0,0,0,1,3,Anthony Edwards,2023,SG,Offensive Big Men
136,5.7,27.3,18.2,36.4,36.4,50.0,0.5,0.6,1.1,0.2,0.2,0.1,0.3,0.2,1.2,0,0,0,1,0,2,Kessler Edwards,2023,SF,Key Pieces
137,2.2,50.0,50.0,50.3,50.3,78.3,0.0,0.4,0.4,0.2,0.0,0.0,0.0,0.4,0.6,0,0,0,0,1,4,Keon Ellis,2023,SG,Key Pieces
138,34.8,53.4,35.8,56.7,56.7,85.2,1.8,8.2,10.0,4.2,1.1,1.7,3.7,3.4,33.6,1,0,0,0,0,3,Joel Embiid,2023,C,Key Reserves
139,18.8,71.5,50.0,72.4,72.4,66.1,1.5,3.1,4.5,1.0,0.5,1.2,0.8,2.0,5.6,1,0,0,0,0,4,Drew Eubanks,2023,C,Defensive Big Men
140,11.5,53.4,0.0,54.2,54.2,64.7,1.4,2.2,3.6,1.0,0.2,0.8,0.6,2.2,3.8,1,0,0,0,0,1,Bruno Fernando,2023,C,6th Men
141,32.1,40.9,34.6,55.8,55.8,73.5,1.6,2.9,4.5,1.4,0.9,0.5,0.9,1.9,8.8,0,1,0,0,0,0,Dorian Finney-Smith,2023,PF,Rising Stars
142,14.1,36.6,37.8,35.1,35.1,76.5,0.4,1.2,1.6,1.4,0.3,0.1,0.5,1.4,5.1,0,0,1,0,0,6,Malachi Flynn,2023,PG,Role Players
143,8.1,38.0,36.8,40.9,40.9,64.3,0.4,0.7,1.1,0.3,0.1,0.2,0.5,0.8,3.5,0,0,0,1,0,6,Simone Fontecchio,2023,SF,All Stars
144,10.7,33.8,25.6,42.9,42.9,0.1,0.2,0.4,0.6,0.6,0.3,0.0,0.4,0.9,3.3,0,0,0,0,1,1,Bryn Forbes,2023,SG,Bench Warmers
145,13.8,48.9,0.0,51.1,51.1,66.7,0.3,1.4,1.8,1.9,0.4,0.1,0.6,1.0,3.0,0,0,1,0,0,1,Trent Forrest,2023,PG,Bench Warmers
147,1.0,46.5,34.4,55.3,55.3,74.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,4,Michael Foster Jr.,2023,PF,6th Men
148,18.5,34.8,31.0,42.2,42.2,84.2,0.2,1.9,2.1,1.5,0.6,0.2,1.0,1.8,6.8,0,0,0,0,1,6,Evan Fournier,2023,SG,6th Men
149,33.6,50.4,32.9,56.9,56.9,78.6,0.4,3.9,4.3,6.1,1.0,0.3,2.6,2.5,24.1,0,0,1,0,0,3,De'Aaron Fox,2023,PG,Rising Stars
150,28.0,49.0,34.2,51.1,51.1,71.0,1.0,2.7,3.8,5.7,1.5,0.4,2.3,2.0,12.1,0,0,1,0,0,7,Markelle Fultz,2023,PG,Role Players
151,15.7,61.9,33.3,66.9,66.9,63.6,1.6,2.4,4.0,0.5,0.4,0.6,0.7,2.2,6.5,0,1,0,0,0,4,Wenyen Gabriel,2023,PF,Defensive Big Men
152,17.7,74.2,29.7,74.2,74.2,62.7,2.0,3.1,5.1,0.8,0.4,1.3,0.9,2.3,8.3,1,0,0,0,0,4,Daniel Gafford,2023,C,Offensive Big Men
153,35.7,45.1,40.2,48.0,48.0,86.9,0.5,2.4,2.9,8.2,1.3,0.1,2.9,2.0,21.9,0,0,1,0,0,3,Darius Garland,2023,PG,Role Players
154,13.9,52.3,45.8,54.2,54.2,52.8,1.8,2.9,4.7,1.0,0.7,0.5,0.7,1.7,3.1,0,1,0,0,0,8,Usman Garuba,2023,PF,Defensive Big Men
155,7.9,49.2,31.8,58.5,58.5,81.5,0.9,0.9,1.8,0.4,0.1,0.1,0.4,1.5,5.4,1,0,0,0,0,8,Luka Garza,2023,C,All Stars
156,14.8,36.1,23.8,48.8,48.8,81.5,0.6,2.4,3.1,0.9,0.4,0.4,0.6,1.2,4.4,0,1,0,0,0,6,Rudy Gay,2023,PF,Offensive Big Men
157,33.9,46.4,38.9,52.2,52.2,88.5,0.7,5.3,6.0,5.3,1.5,0.4,3.3,2.6,23.5,0,0,0,1,0,3,Paul George,2023,SF,Bench Warmers
158,10.1,54.1,20.0,61.4,61.4,69.0,0.8,1.2,2.0,0.8,0.4,0.3,0.6,2.0,3.6,1,0,0,0,0,1,Taj Gibson,2023,C,Rising Stars
159,30.8,48.5,32.6,52.6,52.6,77.8,1.9,6.0,8.0,5.7,0.7,0.5,3.1,2.1,16.1,0,0,0,0,1,0,Josh Giddey,2023,SG,Rising Stars
160,35.6,51.0,36.8,53.2,53.2,90.8,0.8,3.9,4.8,5.7,1.7,1.1,3.0,2.6,30.9,0,0,1,0,0,3,Shai Gilgeous-Alexander,2023,PG,Role Players
161,9.8,59.7,11.8,74.5,74.5,83.3,0.5,0.9,1.4,0.5,0.1,0.1,0.1,1.3,3.0,0,1,0,0,0,1,Anthony Gill,2023,PF,Key Reserves
162,31.0,67.5,0.0,68.1,68.1,66.5,3.2,8.5,11.8,0.9,0.8,1.3,1.8,3.0,13.4,1,0,0,0,0,1,Rudy Gobert,2023,C,All Stars
163,18.8,45.8,40.6,48.2,48.2,75.0,0.9,2.5,3.4,2.7,1.1,0.5,0.9,1.8,6.7,0,0,1,0,0,0,Jordan Goodwin,2023,PG,Role Players
164,30.1,57.9,38.9,63.4,63.4,62.3,2.5,4.4,6.8,2.6,0.8,0.8,1.6,1.9,16.8,0,1,0,0,0,4,Aaron Gordon,2023,PF,Bench Warmers
165,29.9,42.6,33.6,52.4,52.4,82.3,0.3,1.8,2.1,2.7,0.6,0.3,1.7,0.9,12.5,0,0,0,0,1,5,Eric Gordon,2023,SG,Bench Warmers
166,15.4,36.7,34.8,45.0,45.0,74.6,0.2,1.2,1.4,2.2,0.6,0.2,0.5,0.9,5.3,0,0,1,0,0,6,Devonte' Graham,2023,PG,6th Men
168,35.8,48.8,42.2,52.8,52.8,79.7,0.9,3.4,4.3,2.4,0.9,0.8,1.8,2.4,21.3,0,1,0,0,0,3,Jerami Grant,2023,PF,Rising Stars
169,9.1,44.0,40.0,64.3,64.3,0.1,0.2,0.9,1.1,0.5,0.2,0.0,0.3,1.0,4.4,0,0,0,0,1,1,A.J. Green,2023,SG,6th Men
